         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      134  927.821    6.924  927.922    6.925 {method 'dump' of '_pickle.Pickler' objects}
    15630  247.328    0.016  247.328    0.016 {method 'run_backward' of 'torch._C._EngineBase' objects}
    93789  164.002    0.002  207.861    0.002 {built-in method torch.max_pool2d}
    93789  148.420    0.002  192.054    0.002 {built-in method torch.conv2d}
  1344489  139.695    0.000  139.695    0.000 {built-in method nt.stat}
      241   35.171    0.146   35.171    0.146 {built-in method _winapi.WaitForSingleObject}
   125052   32.719    0.000   84.746    0.001 {built-in method torch.relu}
    93789   32.128    0.000  105.413    0.001 {built-in method torch._C._nn.linear}
   312642   22.603    0.000  203.058    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:397(_extract_from_extended_frame_gen)
  1969838   17.780    0.000   38.444    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:458(format_frame_summary)
   375108   13.532    0.000   13.532    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
 10161831   12.713    0.000   27.187    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:316(line)
    62541    9.150    0.000    9.150    0.000 {built-in method torch._ops.profiler.}
  1328807    8.463    0.000  146.221    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\linecache.py:52(checkcache)
   187548    8.281    0.000    8.281    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
       10    8.083    0.808  729.296   72.930 C:\Users\dell\OneDrive\Bureau\segmentation\segmentation\loss_alix\hierarchical\cifar.py:109(evaluate_model)
    50000    7.134    0.000   37.953    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1267(forward)
   312642    6.443    0.000   45.499    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:513(format)
    31263    6.136    0.000   21.341    0.001 {built-in method torch.dropout}
    50000    5.853    0.000    5.893    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageStat.py:77(_getsum)
  2282479    5.165    0.000   10.347    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\linecache.py:26(getline)
   112520    5.076    0.000    5.076    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
    31263    5.037    0.000  640.167    0.020 C:\Users\dell\OneDrive\Bureau\segmentation\segmentation\loss_alix\hierarchical\cifar.py:80(forward)
585734/366893    4.889    0.000  750.284    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1520(_call_impl)
  3993340    4.753    0.000    4.849    0.000 {method 'format' of 'str' objects}
 12131669    4.646    0.000    4.646    0.000 {method 'strip' of 'str' objects}
14210746/14210401    4.592    0.000    4.594    0.000 {built-in method builtins.len}
  2282479    3.695    0.000    4.483    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\linecache.py:36(getlines)
    62522    3.388    0.000    3.388    0.000 {built-in method _new_shared_filename_cpu}
 11265420    3.365    0.000    3.365    0.000 {method 'append' of 'list' objects}
  2282479    3.306    0.000    3.306    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:264(__init__)
  2595121    3.284    0.000    6.010    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:389(extended_frame_gen)
  2282479    3.198    0.000    3.896    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\linecache.py:147(lazycache)
   664869    3.042    0.000    5.576    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\utils.py:558(_log_api_usage_once)
   698271    3.027    0.000    3.027    0.000 {built-in method torch._C._get_tracing_state}
    62541    2.984    0.000    2.984    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
   211263    2.956    0.000   12.976    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    93782    2.880    0.000    2.880    0.000 {built-in method torch.tensor}
   312642    2.870    0.000  208.071    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:220(extract_stack)
   312642    2.775    0.000    3.945    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:439(from_list)
  2595121    2.726    0.000    2.726    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:325(walk_stack)
585734/366893    2.650    0.000  751.700    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1514(_wrapped_call_impl)
   312641    2.640    0.000  261.616    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\fx\traceback.py:62(format_stack)
    60000    2.621    0.000    8.233    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_tensor.py:905(normalize)
6745897/6745680    2.564    0.000    2.810    0.000 {built-in method builtins.isinstance}
760156/760142    2.465    0.000    2.466    0.000 {built-in method builtins.getattr}
   350053    2.286    0.000    2.286    0.000 {built-in method torch.empty}
   350012    2.256    0.000    2.256    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     7801    2.131    0.000    2.132    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   634856    2.104    0.000    3.084    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:505(_new)
    60000    2.048    0.000   15.731    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:125(to_tensor)
    50000    2.043    0.000    4.290    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:711(forward)
    15630    2.023    0.000   25.609    0.002 {built-in method torch._C._nn.cross_entropy_loss}
   150000    1.942    0.000    1.942    0.000 {built-in method PIL._imaging.blend}
  1969838    1.910    0.000    4.398    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:310(_original_line)
    31261    1.858    0.000   12.186    0.000 {built-in method _pickle.loads}
   610055    1.853    0.000    1.853    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py:1682(__getattr__)
   664981    1.837    0.000    1.837    0.000 {built-in method torch._C._log_api_usage_once}
    31260    1.770    0.000    1.770    0.000 C:\Users\dell\OneDrive\Bureau\segmentation\segmentation\loss_alix\hierarchical\cifar.py:106(<listcomp>)
   312642    1.677    0.000  204.735    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:375(extract)
   120000    1.664    0.000    1.664    0.000 {built-in method torch.as_tensor}
    60001    1.651    0.000    1.651    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    60070    1.644    0.000    4.960    0.000 {built-in method numpy.array}
    60000    1.596    0.000    1.596    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    60000    1.562    0.000    1.562    0.000 {method 'div' of 'torch._C._TensorBase' objects}
    31280    1.558    0.000  539.796    0.017 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:1157(__iter__)
   260001    1.540    0.000    5.518    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2878(new)
   312642    1.463    0.000   50.906    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\traceback.py:29(format_list)
    60001    1.456    0.000    6.998    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:3012(fromarray)
  1759404    1.433    0.000    1.893    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\utils.py:306(<genexpr>)
   260001    1.394    0.000    1.394    0.000 {built-in method PIL._imaging.fill}
   200000    1.385    0.000    3.793    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:863(convert)
